Country,Year,GDP Growth,Inflation,Top 10% Wealth Percentage
Algeria,1990,-1.08,53.8,46.9
Algeria,1991,1.65,21.9,45.7
Algeria,1992,-2.23,13.6,44.5
Algeria,1993,-0.999,29.1,43.3
Algeria,1994,3.69,28.6,42.2
Algeria,1995,3.72,24,41.9
Algeria,1996,1.02,7,41.5
Algeria,1997,5.03,-3.13,41.3
Algeria,1998,3.14,10.9,40.9
Algeria,1999,2.45,22.7,40.6
Algeria,2000,2.62,-0.473,40.3
Algeria,2001,4.07,1.32,40
Algeria,2003,5.41,12.2,39.4
Algeria,2004,5.38,16.1,39.1
Algeria,2005,1.72,10.5,38.8
Algeria,2006,3.42,6.4,38.5
Algeria,2007,2.02,15.3,38.2
Algeria,2008,1.7,-11.2,37.9
Algeria,2009,3.57,16.1,37.6
Algeria,2010,2.31,18.2,37.3
Algeria,2011,2.58,7.46,37.3
Algeria,2012,2.99,-0.0933,37.3
Angola,1990,0.991,106,47.8
Angola,1991,-5.84,477,47.8
Angola,1992,-24,918,47.8
Angola,1993,1.34,2180,47.8
Angola,1994,15,1830,47.8
Angola,1995,20,4800,49.8
Angola,1996,5.5,95.5,51.8
Angola,1997,0,39.4,53.8
Angola,1998,3.24,558,55.8
Angola,1999,3.01,418,57.8
Angola,2000,3.14,106,56.7
Angola,2001,14.5,197,55.6
Angola,2003,11.2,33.4,53.3
Angola,2004,20.5,42.4,52.2
Angola,2005,18.6,17.1,51.1
Angola,2006,23.2,4.31,50
Angola,2007,13.8,19.4,48.9
Angola,2008,2.39,-16.8,49.7
Angola,2009,3.45,32.3,50.6
Angola,2010,3.87,31.8,51.5
Angola,2011,4.96,7.26,52.4
Angola,2012,3.79,2.84,53.3
Armenia,1990,-14.1,79.4,26.9
Armenia,1991,-41.8,569,27.9
Armenia,1992,-6.86,1390,28.9
Armenia,1993,6.38,4110,29.6
Armenia,1994,6.67,161,30.3
Armenia,1995,4.41,19.6,30.6
Armenia,1996,2.23,17.7,30.9
Armenia,1997,6.76,10.7,31.4
Armenia,1998,2.74,0.0538,31.5
Armenia,1999,5.58,-1.37,31.8
Armenia,2000,9.77,4.03,32.2
Armenia,2001,15.4,2.36,32.7
Armenia,2003,11,6.28,33.5
Armenia,2004,14.4,3.21,34.1
Armenia,2005,13.2,4.62,34
Armenia,2006,13.7,4.28,34.2
Armenia,2007,6.86,5.99,34.3
Armenia,2008,-14.8,2.5,33.9
Armenia,2009,1.42,7.77,33.9
Armenia,2010,3.94,4.28,34
Armenia,2011,7.22,5.35,34.3
Armenia,2012,3.27,3.37,34.4
Australia,1990,0.184,3.04,26.3
Australia,1991,3.55,1.5,26.6
Australia,1992,3.84,0.893,27.2
Australia,1993,4.15,1.02,27.6
Australia,1994,4.11,2.26,27.2
Australia,1995,3.62,2.7,26.9
Australia,1996,4.4,1.23,27.7
Australia,1997,5.52,1.27,27.9
Australia,1998,4.06,0.357,29.1
Australia,1999,2.04,2.58,29.7
Australia,2000,3.91,4.62,28.3
Australia,2001,3.31,2.86,29.1
Australia,2003,2.82,3.31,29.6
Australia,2004,3.7,3.8,30.1
Australia,2005,2.93,5.09,31.5
Australia,2006,4.86,5.01,30.4
Australia,2007,2.6,4.53,28.7
Australia,2008,1.64,5,30.1
Australia,2009,3.14,1.17,30.3
Australia,2010,2.59,6.25,29.5
Australia,2011,3.19,1.86,30.8
Australia,2012,2.47,-0.124,31.9
Austria,1990,2.99,3.64,32.8
Austria,1991,1.88,3.48,32.8
Austria,1992,0.193,2.76,32.8
Austria,1993,2.87,2.52,32.7
Austria,1994,2.19,1.81,32.8
Austria,1995,2.77,0.986,32.8
Austria,1996,1.87,1.27,33.2
Austria,1997,3.54,0.442,33.9
Austria,1998,3.21,0.256,32
Austria,1999,3.38,1.36,33.9
Austria,2000,1.01,1.95,32.9
Austria,2001,1.25,1.15,33.8
Austria,2003,2.83,1.74,33.3
Austria,2004,2.53,2.54,34.7
Austria,2005,3.65,1.89,36.6
Austria,2006,3.75,2.22,34.5
Austria,2007,1.39,1.96,34.7
Austria,2008,-3.77,1.89,33.5
Austria,2009,2.04,0.873,33.9
Austria,2010,2.53,1.83,33.1
Austria,2011,0.521,2.05,31.2
Austria,2012,0.277,1.62,31.4
Azerbaijan,1990,-0.602,83.5,26.9
Azerbaijan,1991,-22.5,1070,27.9
Azerbaijan,1992,-22.8,747,28.9
Azerbaijan,1993,-19.4,1390,29.6
Azerbaijan,1994,-11.4,546,30.3
Azerbaijan,1995,1.84,26.4,30.6
Azerbaijan,1996,6.35,9.24,30.9
Azerbaijan,1997,10.6,-0.965,31.4
Azerbaijan,1998,8.04,2.16,31.5
Azerbaijan,1999,11.8,12.5,31.8
Azerbaijan,2000,10.7,2.52,32.2
Azerbaijan,2001,11.4,4.21,32.7
Azerbaijan,2003,12.3,9.25,33.5
Azerbaijan,2004,25.2,14.7,34.1
Azerbaijan,2005,34.6,11.3,34
Azerbaijan,2006,25.1,20.6,34.2
Azerbaijan,2007,10.9,28,34.3
Azerbaijan,2008,9.35,-18.9,33.9
Azerbaijan,2009,5.17,13.8,33.9
Azerbaijan,2010,0.119,24.6,34
Azerbaijan,2011,2.04,2.84,34.3
Azerbaijan,2012,6.21,0.413,34.4
Bahrain,1990,4.45,-1.88,53.3
Bahrain,1991,7.59,-3.53,53.3
Bahrain,1992,7.98,-3.03,53.3
Bahrain,1993,-0.456,7.33,53.3
Bahrain,1994,3.89,1.09,53.3
Bahrain,1995,4.62,0.197,53.1
Bahrain,1996,4.12,0.932,52.8
